run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
1,SOBI,lda,51,0.54,0.54,0.07999999999999996,1
2,SOBI,lda,51,0.54,0.54,0.07999999999999996,1
0,None,random_forest,50,0.48,0.48,-0.040000000000000036,0
0,None,gaussian_nb,50,0.47,0.47,-0.06000000000000005,0
0,None,lda,50,0.5,0.5,0.0,0
0,None,logistic,50,0.5,0.5,0.0,0
1,None,random_forest,50,0.5,0.5,0.0,0
1,None,logistic,50,0.5,0.5,0.0,0
2,None,random_forest,50,0.47,0.47000000000000003,-0.06000000000000005,0
2,None,logistic,50,0.5,0.5,0.0,0
0,ORICA (0),random_forest,50,0.42,0.42000000000000004,-0.15999999999999992,0
0,ORICA (0),gaussian_nb,50,0.49,0.49,-0.020000000000000018,0
0,ORICA (0),lda,50,0.48,0.48000000000000004,-0.040000000000000036,0
0,ORICA (0),logistic,50,0.48,0.48000000000000004,-0.040000000000000036,0
1,ORICA (0),random_forest,50,0.46,0.46,-0.08000000000000007,0
1,ORICA (0),logistic,50,0.48,0.48000000000000004,-0.040000000000000036,0
2,ORICA (0),random_forest,50,0.4,0.4,-0.19999999999999996,0
2,ORICA (0),logistic,50,0.48,0.48000000000000004,-0.040000000000000036,0
0,ORICA (1),random_forest,50,0.46,0.46,-0.08000000000000007,0
0,ORICA (1),gaussian_nb,50,0.47,0.47,-0.06000000000000005,0
0,ORICA (1),lda,50,0.51,0.51,0.020000000000000018,0
0,ORICA (1),logistic,50,0.52,0.52,0.040000000000000036,0
1,ORICA (1),random_forest,50,0.47,0.47000000000000003,-0.06000000000000005,0
1,ORICA (1),logistic,50,0.52,0.52,0.040000000000000036,0
2,ORICA (1),random_forest,50,0.47,0.47,-0.06000000000000005,0
2,ORICA (1),logistic,50,0.52,0.52,0.040000000000000036,0
0,Ext. Infomax,random_forest,50,0.56,0.56,0.12,0
0,Ext. Infomax,gaussian_nb,50,0.5,0.5,0.0,0
0,Ext. Infomax,lda,50,0.46,0.45999999999999996,-0.08000000000000007,0
0,Ext. Infomax,logistic,50,0.46,0.45999999999999996,-0.08000000000000007,0
1,Ext. Infomax,random_forest,50,0.5,0.5,0.0,0
1,Ext. Infomax,gaussian_nb,50,0.49,0.49,-0.020000000000000018,0
1,Ext. Infomax,lda,50,0.46,0.45999999999999996,-0.08000000000000007,0
1,Ext. Infomax,logistic,50,0.43,0.43,-0.1399999999999999,0
2,Ext. Infomax,random_forest,50,0.5,0.5,0.0,0
2,Ext. Infomax,gaussian_nb,50,0.46,0.45999999999999996,-0.08000000000000007,0
2,Ext. Infomax,lda,50,0.47,0.47,-0.06000000000000005,0
2,Ext. Infomax,logistic,50,0.46,0.46,-0.08000000000000007,0
0,SOBI,random_forest,50,0.44,0.44,-0.1200000000000001,0
0,SOBI,gaussian_nb,50,0.47,0.47000000000000003,-0.06000000000000005,0
0,SOBI,lda,50,0.46,0.46,-0.08000000000000007,0
0,SOBI,logistic,50,0.47,0.47000000000000003,-0.06000000000000005,0
1,SOBI,random_forest,50,0.45,0.45,-0.10000000000000009,0
1,SOBI,logistic,50,0.47,0.47000000000000003,-0.06000000000000005,0
2,SOBI,random_forest,50,0.45,0.44999999999999996,-0.10000000000000009,0
2,SOBI,logistic,50,0.47,0.47000000000000003,-0.06000000000000005,0
0,FastICA,random_forest,50,0.51,0.51,0.020000000000000018,0
0,FastICA,gaussian_nb,50,0.49,0.49,-0.020000000000000018,0
0,FastICA,lda,50,0.47,0.47000000000000003,-0.06000000000000005,0
0,FastICA,logistic,50,0.46,0.45999999999999996,-0.08000000000000007,0
1,FastICA,random_forest,50,0.52,0.52,0.040000000000000036,0
1,FastICA,gaussian_nb,50,0.5,0.5,0.0,0
1,FastICA,lda,50,0.44,0.44,-0.1200000000000001,0
1,FastICA,logistic,50,0.43,0.43,-0.1399999999999999,0
2,FastICA,random_forest,50,0.56,0.56,0.12,0
2,FastICA,gaussian_nb,50,0.5,0.5,0.0,0
2,FastICA,lda,50,0.43,0.43,-0.1399999999999999,0
2,FastICA,logistic,50,0.43,0.43000000000000005,-0.1399999999999999,0
0,picard_o,random_forest,50,0.55,0.55,0.09999999999999998,0
0,picard_o,gaussian_nb,50,0.49,0.49,-0.020000000000000018,0
0,picard_o,lda,50,0.45,0.45,-0.10000000000000009,0
0,picard_o,logistic,50,0.45,0.44999999999999996,-0.10000000000000009,0
1,picard_o,random_forest,50,0.51,0.51,0.020000000000000018,0
1,picard_o,gaussian_nb,50,0.49,0.49,-0.020000000000000018,0
1,picard_o,lda,50,0.45,0.45,-0.10000000000000009,0
1,picard_o,logistic,50,0.45,0.44999999999999996,-0.10000000000000009,0
2,picard_o,random_forest,50,0.5,0.5,0.0,0
2,picard_o,gaussian_nb,50,0.5,0.5,0.0,0
2,picard_o,lda,50,0.46,0.45999999999999996,-0.08000000000000007,0
2,picard_o,logistic,50,0.46,0.45999999999999996,-0.08000000000000007,0
1,None,gaussian_nb,50,0.47,0.47,-0.06000000000000005,1
2,None,gaussian_nb,50,0.47,0.47,-0.06000000000000005,1
1,None,lda,50,0.5,0.5,0.0,1
2,None,lda,50,0.5,0.5,0.0,1
1,ORICA (0),gaussian_nb,50,0.49,0.49,-0.020000000000000018,1
2,ORICA (0),gaussian_nb,50,0.49,0.49,-0.020000000000000018,1
1,ORICA (0),lda,50,0.48,0.48000000000000004,-0.040000000000000036,1
2,ORICA (0),lda,50,0.48,0.48000000000000004,-0.040000000000000036,1
1,ORICA (1),gaussian_nb,50,0.47,0.47,-0.06000000000000005,1
2,ORICA (1),gaussian_nb,50,0.47,0.47,-0.06000000000000005,1
1,ORICA (1),lda,50,0.51,0.51,0.020000000000000018,1
2,ORICA (1),lda,50,0.51,0.51,0.020000000000000018,1
1,SOBI,gaussian_nb,50,0.47,0.47000000000000003,-0.06000000000000005,1
2,SOBI,gaussian_nb,50,0.47,0.47000000000000003,-0.06000000000000005,1
1,SOBI,lda,50,0.46,0.46,-0.08000000000000007,1
2,SOBI,lda,50,0.46,0.46,-0.08000000000000007,1
0,None,random_forest,5,0.53,0.53,0.06000000000000005,0
0,None,gaussian_nb,5,0.59,0.5900000000000001,0.18000000000000005,0
0,None,lda,5,0.56,0.56,0.12,0
0,None,logistic,5,0.56,0.56,0.12,0
1,None,random_forest,5,0.56,0.56,0.12,0
1,None,logistic,5,0.56,0.56,0.12,0
2,None,random_forest,5,0.54,0.54,0.07999999999999996,0
2,None,logistic,5,0.56,0.56,0.12,0
0,ORICA (0),random_forest,5,0.54,0.54,0.07999999999999996,0
0,ORICA (0),gaussian_nb,5,0.45,0.45,-0.10000000000000009,0
0,ORICA (0),lda,5,0.4,0.4,-0.19999999999999996,0
0,ORICA (0),logistic,5,0.4,0.4,-0.19999999999999996,0
1,ORICA (0),random_forest,5,0.56,0.56,0.12,0
1,ORICA (0),logistic,5,0.4,0.4,-0.19999999999999996,0
2,ORICA (0),random_forest,5,0.53,0.53,0.06000000000000005,0
2,ORICA (0),logistic,5,0.4,0.4,-0.19999999999999996,0
0,ORICA (1),random_forest,5,0.57,0.5700000000000001,0.14,0
0,ORICA (1),gaussian_nb,5,0.57,0.5700000000000001,0.14,0
0,ORICA (1),lda,5,0.55,0.55,0.09999999999999998,0
0,ORICA (1),logistic,5,0.55,0.55,0.09999999999999998,0
1,ORICA (1),random_forest,5,0.57,0.57,0.14,0
1,ORICA (1),logistic,5,0.55,0.55,0.09999999999999998,0
2,ORICA (1),random_forest,5,0.57,0.57,0.14,0
2,ORICA (1),logistic,5,0.55,0.55,0.09999999999999998,0
0,Ext. Infomax,random_forest,5,0.5,0.5,0.0,0
0,Ext. Infomax,gaussian_nb,5,0.5,0.5,0.0,0
0,Ext. Infomax,lda,5,0.5,0.5,0.0,0
0,Ext. Infomax,logistic,5,0.5,0.5,0.0,0
1,Ext. Infomax,random_forest,5,0.59,0.59,0.18000000000000005,0
1,Ext. Infomax,gaussian_nb,5,0.5,0.5,0.0,0
1,Ext. Infomax,lda,5,0.5,0.5,0.0,0
1,Ext. Infomax,logistic,5,0.5,0.5,0.0,0
2,Ext. Infomax,random_forest,5,0.57,0.57,0.14,0
2,Ext. Infomax,gaussian_nb,5,0.5,0.5,0.0,0
2,Ext. Infomax,lda,5,0.5,0.5,0.0,0
2,Ext. Infomax,logistic,5,0.5,0.5,0.0,0
0,SOBI,random_forest,5,0.5,0.5,0.0,0
0,SOBI,gaussian_nb,5,0.5,0.5,0.0,0
0,SOBI,lda,5,0.52,0.52,0.040000000000000036,0
0,SOBI,logistic,5,0.52,0.52,0.040000000000000036,0
1,SOBI,random_forest,5,0.59,0.59,0.18000000000000005,0
1,SOBI,logistic,5,0.52,0.52,0.040000000000000036,0
2,SOBI,random_forest,5,0.5,0.5,0.0,0
2,SOBI,logistic,5,0.52,0.52,0.040000000000000036,0
0,FastICA,random_forest,5,0.49,0.49,-0.020000000000000018,0
0,FastICA,gaussian_nb,5,0.5,0.5,0.0,0
0,FastICA,lda,5,0.5,0.5,0.0,0
0,FastICA,logistic,5,0.5,0.5,0.0,0
1,FastICA,random_forest,5,0.61,0.61,0.21999999999999997,0
1,FastICA,gaussian_nb,5,0.5,0.5,0.0,0
1,FastICA,lda,5,0.5,0.5,0.0,0
1,FastICA,logistic,5,0.5,0.5,0.0,0
2,FastICA,random_forest,5,0.54,0.54,0.07999999999999996,0
2,FastICA,gaussian_nb,5,0.5,0.5,0.0,0
2,FastICA,lda,5,0.5,0.5,0.0,0
2,FastICA,logistic,5,0.5,0.5,0.0,0
0,picard_o,random_forest,5,0.53,0.53,0.06000000000000005,0
0,picard_o,gaussian_nb,5,0.54,0.54,0.07999999999999996,0
0,picard_o,lda,5,0.5,0.5,0.0,0
0,picard_o,logistic,5,0.5,0.5,0.0,0
1,picard_o,random_forest,5,0.65,0.65,0.30000000000000004,0
1,picard_o,gaussian_nb,5,0.64,0.64,0.28,0
1,picard_o,lda,5,0.64,0.64,0.28,0
1,picard_o,logistic,5,0.64,0.64,0.28,0
2,picard_o,random_forest,5,0.67,0.67,0.33999999999999997,0
2,picard_o,gaussian_nb,5,0.64,0.64,0.28,0
2,picard_o,lda,5,0.64,0.64,0.28,0
2,picard_o,logistic,5,0.64,0.64,0.28,0
1,None,gaussian_nb,5,0.59,0.5900000000000001,0.18000000000000005,1
2,None,gaussian_nb,5,0.59,0.5900000000000001,0.18000000000000005,1
1,None,lda,5,0.56,0.56,0.12,1
2,None,lda,5,0.56,0.56,0.12,1
1,ORICA (0),gaussian_nb,5,0.45,0.45,-0.10000000000000009,1
2,ORICA (0),gaussian_nb,5,0.45,0.45,-0.10000000000000009,1
1,ORICA (0),lda,5,0.4,0.4,-0.19999999999999996,1
2,ORICA (0),lda,5,0.4,0.4,-0.19999999999999996,1
1,ORICA (1),gaussian_nb,5,0.57,0.5700000000000001,0.14,1
2,ORICA (1),gaussian_nb,5,0.57,0.5700000000000001,0.14,1
1,ORICA (1),lda,5,0.55,0.55,0.09999999999999998,1
2,ORICA (1),lda,5,0.55,0.55,0.09999999999999998,1
1,SOBI,gaussian_nb,5,0.5,0.5,0.0,1
2,SOBI,gaussian_nb,5,0.5,0.5,0.0,1
1,SOBI,lda,5,0.52,0.52,0.040000000000000036,1
2,SOBI,lda,5,0.52,0.52,0.040000000000000036,1
0,None,random_forest,49,0.64,0.64,0.28,0
0,None,gaussian_nb,49,0.63,0.63,0.26,0
0,None,lda,49,0.64,0.64,0.28,0
0,None,logistic,49,0.65,0.6499999999999999,0.30000000000000004,0
1,None,random_forest,49,0.63,0.63,0.26,0
1,None,logistic,49,0.65,0.6499999999999999,0.30000000000000004,0
2,None,random_forest,49,0.54,0.54,0.07999999999999996,0
2,None,logistic,49,0.65,0.6499999999999999,0.30000000000000004,0
0,ORICA (0),random_forest,49,0.54,0.54,0.07999999999999996,0
0,ORICA (0),gaussian_nb,49,0.5,0.5,0.0,0
0,ORICA (0),lda,49,0.53,0.53,0.06000000000000005,0
0,ORICA (0),logistic,49,0.53,0.53,0.06000000000000005,0
1,ORICA (0),random_forest,49,0.53,0.53,0.06000000000000005,0
1,ORICA (0),logistic,49,0.53,0.53,0.06000000000000005,0
2,ORICA (0),random_forest,49,0.57,0.5700000000000001,0.14,0
2,ORICA (0),logistic,49,0.53,0.53,0.06000000000000005,0
0,ORICA (1),random_forest,49,0.53,0.53,0.06000000000000005,0
0,ORICA (1),gaussian_nb,49,0.47,0.47,-0.06000000000000005,0
0,ORICA (1),lda,49,0.49,0.49,-0.020000000000000018,0
0,ORICA (1),logistic,49,0.49,0.49,-0.020000000000000018,0
1,ORICA (1),random_forest,49,0.46,0.45999999999999996,-0.08000000000000007,0
1,ORICA (1),logistic,49,0.49,0.49,-0.020000000000000018,0
2,ORICA (1),random_forest,49,0.47,0.47,-0.06000000000000005,0
2,ORICA (1),logistic,49,0.49,0.49,-0.020000000000000018,0
0,Ext. Infomax,random_forest,49,0.48,0.48000000000000004,-0.040000000000000036,0
0,Ext. Infomax,gaussian_nb,49,0.45,0.44999999999999996,-0.10000000000000009,0
0,Ext. Infomax,lda,49,0.5,0.5,0.0,0
0,Ext. Infomax,logistic,49,0.49,0.49,-0.020000000000000018,0
1,Ext. Infomax,random_forest,49,0.52,0.52,0.040000000000000036,0
1,Ext. Infomax,gaussian_nb,49,0.51,0.51,0.020000000000000018,0
1,Ext. Infomax,lda,49,0.49,0.49,-0.020000000000000018,0
1,Ext. Infomax,logistic,49,0.48,0.48,-0.040000000000000036,0
2,Ext. Infomax,random_forest,49,0.5,0.5,0.0,0
2,Ext. Infomax,gaussian_nb,49,0.48,0.48,-0.040000000000000036,0
2,Ext. Infomax,lda,49,0.5,0.5,0.0,0
2,Ext. Infomax,logistic,49,0.52,0.52,0.040000000000000036,0
0,SOBI,random_forest,49,0.44,0.44,-0.1200000000000001,0
0,SOBI,gaussian_nb,49,0.52,0.52,0.040000000000000036,0
0,SOBI,lda,49,0.46,0.46,-0.08000000000000007,0
0,SOBI,logistic,49,0.46,0.46,-0.08000000000000007,0
1,SOBI,random_forest,49,0.44,0.44,-0.1200000000000001,0
1,SOBI,logistic,49,0.46,0.46,-0.08000000000000007,0
2,SOBI,random_forest,49,0.45,0.45,-0.10000000000000009,0
2,SOBI,logistic,49,0.46,0.46,-0.08000000000000007,0
0,FastICA,random_forest,49,0.55,0.55,0.09999999999999998,0
0,FastICA,gaussian_nb,49,0.51,0.51,0.020000000000000018,0
0,FastICA,lda,49,0.62,0.62,0.24,0
0,FastICA,logistic,49,0.64,0.64,0.28,0
1,FastICA,random_forest,49,0.52,0.52,0.040000000000000036,0
1,FastICA,gaussian_nb,49,0.51,0.51,0.020000000000000018,0
1,FastICA,lda,49,0.51,0.51,0.020000000000000018,0
1,FastICA,logistic,49,0.53,0.53,0.06000000000000005,0
2,FastICA,random_forest,49,0.52,0.52,0.040000000000000036,0
2,FastICA,gaussian_nb,49,0.41,0.41000000000000003,-0.17999999999999994,0
2,FastICA,lda,49,0.51,0.51,0.020000000000000018,0
2,FastICA,logistic,49,0.51,0.51,0.020000000000000018,0
0,picard_o,random_forest,49,0.49,0.49,-0.020000000000000018,0
0,picard_o,gaussian_nb,49,0.46,0.45999999999999996,-0.08000000000000007,0
0,picard_o,lda,49,0.51,0.51,0.020000000000000018,0
0,picard_o,logistic,49,0.51,0.51,0.020000000000000018,0
1,picard_o,random_forest,49,0.53,0.53,0.06000000000000005,0
