run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,clf_fit_time,preprocess_fit_time,hyperparameters,duplicated
1,ORICA (1),logistic,51,0.58,0.5800000000000001,0.16000000000000003,0.01607680320739746,0.0,"{'fit_intercept': True, 'penalty': 'none', 'selected_features': [0, 1]}",0
2,ORICA (1),random_forest,51,0.61,0.61,0.21999999999999997,1.1931886672973633,0.0,"{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 15, 'selected_features': [0, 1]}",0
2,ORICA (1),logistic,51,0.58,0.5800000000000001,0.16000000000000003,0.016125202178955078,0.0,"{'fit_intercept': True, 'penalty': 'none', 'selected_features': [0, 1]}",0
0,Ext. Infomax,random_forest,51,0.86,0.86,0.72,1.2944817543029785,1.542306900024414,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 40, 'selected_features': [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
0,Ext. Infomax,gaussian_nb,51,0.57,0.5700000000000001,0.14,0.010543346405029297,1.542306900024414,"{'selected_features': [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
0,Ext. Infomax,lda,51,0.66,0.6599999999999999,0.31999999999999995,0.017574787139892578,1.542306900024414,"{'n_components': 1, 'selected_features': [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
0,Ext. Infomax,logistic,51,0.68,0.6799999999999999,0.36,0.017720937728881836,1.542306900024414,"{'fit_intercept': True, 'penalty': 'none', 'selected_features': [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
1,Ext. Infomax,random_forest,51,0.79,0.79,0.5800000000000001,1.2585761547088623,1.557168960571289,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 15, 'selected_features': [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
1,Ext. Infomax,gaussian_nb,51,0.57,0.5700000000000001,0.14,0.010610342025756836,1.557168960571289,"{'selected_features': [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
1,Ext. Infomax,lda,51,0.67,0.6699999999999999,0.33999999999999997,0.017497539520263672,1.557168960571289,"{'n_components': 1, 'selected_features': [0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
