run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,clf_fit_time,preprocess_fit_time,hyperparameters,duplicated
1,ORICA (1),lda,1,0.5694444444444444,0.5694444444444444,0.13888888888888884,0.04893779754638672,0.03307795524597168,"{'n_components': 1, 'selected_features': [1, 0]}",1
2,ORICA (1),lda,1,0.5694444444444444,0.5694444444444444,0.13888888888888884,0.04893779754638672,0.03307795524597168,"{'n_components': 1, 'selected_features': [1, 0]}",1
1,SOBI,lda,1,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.03310108184814453,2.0645272731781006,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]}",1
2,SOBI,lda,1,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.03310108184814453,2.0645272731781006,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]}",1
0,None,lda,2,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.03266310691833496,1.1756603717803955,"{'n_components': 1, 'selected_features': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
0,ORICA (0),lda,2,0.5277777777777778,0.5277777777777778,0.05555555555555558,0.05194878578186035,0.03286123275756836,"{'n_components': 1, 'selected_features': [0, 1]}",0
0,ORICA (1),lda,2,0.5,0.5,0.0,0.04333853721618652,0.035482168197631836,"{'n_components': 1, 'selected_features': [1, 0]}",0
0,Ext. Infomax,lda,2,0.7638888888888888,0.7638888888888888,0.5277777777777778,0.03408932685852051,1.548217535018921,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]}",0
1,Ext. Infomax,lda,2,0.7083333333333334,0.7083333333333333,0.41666666666666663,0.032846689224243164,2.0440194606781006,"{'n_components': 1, 'selected_features': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]}",0
2,Ext. Infomax,lda,2,0.75,0.75,0.5,0.033336639404296875,1.7382104396820068,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]}",0
0,SOBI,lda,2,0.8194444444444444,0.8194444444444444,0.6388888888888888,0.033187150955200195,2.096311569213867,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]}",0
0,FastICA,lda,2,0.7222222222222222,0.7222222222222222,0.4444444444444444,0.0326993465423584,1.453524112701416,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]}",0
1,FastICA,lda,2,0.6805555555555556,0.6805555555555556,0.36111111111111116,0.035550594329833984,0.6039416790008545,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
2,FastICA,lda,2,0.6805555555555556,0.6805555555555556,0.36111111111111116,0.03288602828979492,1.4568531513214111,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]}",0
0,picard_o,lda,2,0.7083333333333334,0.7083333333333333,0.41666666666666663,0.03346562385559082,1.1967689990997314,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
1,picard_o,lda,2,0.75,0.75,0.5,0.0325624942779541,1.5903501510620117,"{'n_components': 1, 'selected_features': [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
2,picard_o,lda,2,0.75,0.75,0.5,0.03995847702026367,1.8872144222259521,"{'n_components': 1, 'selected_features': [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",0
1,None,lda,2,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.03266310691833496,1.1756603717803955,"{'n_components': 1, 'selected_features': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",1
2,None,lda,2,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.03266310691833496,1.1756603717803955,"{'n_components': 1, 'selected_features': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",1
1,ORICA (0),lda,2,0.5277777777777778,0.5277777777777778,0.05555555555555558,0.05194878578186035,0.03286123275756836,"{'n_components': 1, 'selected_features': [0, 1]}",1
2,ORICA (0),lda,2,0.5277777777777778,0.5277777777777778,0.05555555555555558,0.05194878578186035,0.03286123275756836,"{'n_components': 1, 'selected_features': [0, 1]}",1
1,ORICA (1),lda,2,0.5,0.5,0.0,0.04333853721618652,0.035482168197631836,"{'n_components': 1, 'selected_features': [1, 0]}",1
2,ORICA (1),lda,2,0.5,0.5,0.0,0.04333853721618652,0.035482168197631836,"{'n_components': 1, 'selected_features': [1, 0]}",1
1,SOBI,lda,2,0.8194444444444444,0.8194444444444444,0.6388888888888888,0.033187150955200195,2.096311569213867,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]}",1
