run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
1,ORICA (1),lda,3,0.5277777777777778,0.5277777777777778,0.05555555555555558,1
2,ORICA (1),lda,3,0.5277777777777778,0.5277777777777778,0.05555555555555558,1
1,SOBI,lda,3,0.8333333333333334,0.8333333333333334,0.6666666666666667,1
2,SOBI,lda,3,0.8333333333333334,0.8333333333333334,0.6666666666666667,1
0,None,lda,4,0.4652777777777778,0.4652777777777778,-0.06944444444444442,0
0,ORICA (0),lda,4,0.5486111111111112,0.5486111111111112,0.09722222222222221,0
0,ORICA (1),lda,4,0.4791666666666667,0.4791666666666667,-0.04166666666666674,0
0,Ext. Infomax,lda,4,0.6319444444444444,0.6319444444444444,0.26388888888888884,0
1,Ext. Infomax,lda,4,0.6388888888888888,0.6388888888888888,0.2777777777777778,0
2,Ext. Infomax,lda,4,0.6875,0.6875,0.375,0
0,SOBI,lda,4,0.7222222222222222,0.7222222222222222,0.4444444444444444,0
0,FastICA,lda,4,0.6458333333333334,0.6458333333333334,0.29166666666666663,0
1,FastICA,lda,4,0.6111111111111112,0.6111111111111112,0.2222222222222222,0
2,FastICA,lda,4,0.6944444444444444,0.6944444444444444,0.38888888888888884,0
0,picard_o,lda,4,0.6527777777777778,0.6527777777777778,0.3055555555555556,0
1,picard_o,lda,4,0.7013888888888888,0.7013888888888888,0.4027777777777778,0
2,picard_o,lda,4,0.7013888888888888,0.7013888888888888,0.4027777777777778,0
1,None,lda,4,0.4652777777777778,0.4652777777777778,-0.06944444444444442,1
2,None,lda,4,0.4652777777777778,0.4652777777777778,-0.06944444444444442,1
1,ORICA (0),lda,4,0.5486111111111112,0.5486111111111112,0.09722222222222221,1
2,ORICA (0),lda,4,0.5486111111111112,0.5486111111111112,0.09722222222222221,1
1,ORICA (1),lda,4,0.4791666666666667,0.4791666666666667,-0.04166666666666674,1
2,ORICA (1),lda,4,0.4791666666666667,0.4791666666666667,-0.04166666666666674,1
1,SOBI,lda,4,0.7222222222222222,0.7222222222222222,0.4444444444444444,1
2,SOBI,lda,4,0.7222222222222222,0.7222222222222222,0.4444444444444444,1
0,None,lda,5,0.5694444444444444,0.5694444444444444,0.13888888888888884,0
0,ORICA (0),lda,5,0.5,0.5,0.0,0
0,ORICA (1),lda,5,0.4791666666666667,0.47916666666666663,-0.04166666666666674,0
0,Ext. Infomax,lda,5,0.5833333333333334,0.5833333333333334,0.16666666666666663,0
1,Ext. Infomax,lda,5,0.5833333333333334,0.5833333333333333,0.16666666666666663,0
2,Ext. Infomax,lda,5,0.5555555555555556,0.5555555555555556,0.11111111111111116,0
0,SOBI,lda,5,0.5486111111111112,0.5486111111111112,0.09722222222222221,0
0,FastICA,lda,5,0.5416666666666666,0.5416666666666666,0.08333333333333337,0
1,FastICA,lda,5,0.5416666666666666,0.5416666666666666,0.08333333333333337,0
2,FastICA,lda,5,0.5694444444444444,0.5694444444444444,0.13888888888888884,0
0,picard_o,lda,5,0.6041666666666666,0.6041666666666666,0.20833333333333337,0
1,picard_o,lda,5,0.5763888888888888,0.5763888888888888,0.1527777777777778,0
2,picard_o,lda,5,0.5208333333333334,0.5208333333333334,0.04166666666666663,0
1,None,lda,5,0.5694444444444444,0.5694444444444444,0.13888888888888884,1
2,None,lda,5,0.5694444444444444,0.5694444444444444,0.13888888888888884,1
1,ORICA (0),lda,5,0.5,0.5,0.0,1
2,ORICA (0),lda,5,0.5,0.5,0.0,1
1,ORICA (1),lda,5,0.4791666666666667,0.47916666666666663,-0.04166666666666674,1
2,ORICA (1),lda,5,0.4791666666666667,0.47916666666666663,-0.04166666666666674,1
1,SOBI,lda,5,0.5486111111111112,0.5486111111111112,0.09722222222222221,1
2,SOBI,lda,5,0.5486111111111112,0.5486111111111112,0.09722222222222221,1
0,None,lda,6,0.5694444444444444,0.5694444444444444,0.13888888888888884,0
