run,classifier,uid,Acc.,Bal. Acc.,Kappa,clf_fit_time,preprocess_fit_time,hyperparameters,duplicated
0,lda,37,0.97,0.97,0.94,0.03241705894470215,0.3239727020263672,"{'n_components': 1, 'selected_features': [1, 1, 0, 0, 0, 0, 0, 1, 1, 0]}",0
0,lda,38,0.74,0.74,0.48,0.03300333023071289,0.23181605339050293,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 1, 0, 1, 0]}",0
0,lda,39,0.9,0.9,0.8,0.03235769271850586,0.32396411895751953,"{'n_components': 1, 'selected_features': [0, 1, 1, 0, 0, 0, 1, 1, 0, 0]}",0
0,lda,4,0.72,0.72,0.43999999999999995,0.032700300216674805,0.17536306381225586,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 0, 0, 0, 1, 0]}",0
0,lda,40,0.85,0.85,0.7,0.03334379196166992,0.3291358947753906,"{'n_components': 1, 'selected_features': [0, 0, 1, 1, 1, 0, 0, 0, 1, 0]}",0
0,lda,41,0.81,0.81,0.62,0.03319716453552246,0.35996246337890625,"{'n_components': 1, 'selected_features': [0, 0, 1, 1, 1, 1, 0, 0, 1, 0]}",0
0,lda,42,0.81,0.81,0.62,0.033527374267578125,0.2795729637145996,"{'n_components': 1, 'selected_features': [1, 1, 0, 1, 0, 0, 0, 0, 0, 0]}",0
0,lda,43,0.93,0.9299999999999999,0.86,0.03262734413146973,0.3268909454345703,"{'n_components': 1, 'selected_features': [1, 1, 0, 0, 1, 0, 0, 0, 0, 1]}",0
0,lda,44,0.99,0.99,0.98,0.03275704383850098,0.2819244861602783,"{'n_components': 1, 'selected_features': [1, 1, 0, 0, 0, 0, 1, 0, 0, 0]}",0
0,lda,45,0.94,0.94,0.88,0.032257795333862305,0.2826821804046631,"{'n_components': 1, 'selected_features': [1, 0, 1, 0, 0, 0, 1, 0, 0, 0]}",0
0,lda,46,0.71,0.71,0.42000000000000004,0.038521766662597656,0.3810741901397705,"{'n_components': 1, 'selected_features': [0, 0, 1, 0, 1, 0, 0, 0, 0, 1]}",0
0,lda,47,0.78,0.78,0.56,0.03299832344055176,0.3244895935058594,"{'n_components': 1, 'selected_features': [0, 1, 0, 1, 1, 0, 1, 0, 0, 0]}",0
0,lda,48,0.82,0.8200000000000001,0.64,0.03278517723083496,0.3664584159851074,"{'n_components': 1, 'selected_features': [0, 1, 1, 1, 0, 0, 1, 1, 0, 0]}",0
0,lda,49,0.89,0.89,0.78,0.03281426429748535,0.3605172634124756,"{'n_components': 1, 'selected_features': [1, 0, 0, 1, 1, 0, 1, 0, 0, 1]}",0
0,lda,5,1.0,1.0,1.0,0.032887935638427734,0.32399725914001465,"{'n_components': 1, 'selected_features': [1, 0, 1, 1, 0, 1, 0, 0, 0, 0]}",0
0,lda,50,0.76,0.76,0.52,0.0325925350189209,0.2822756767272949,"{'n_components': 1, 'selected_features': [0, 1, 1, 0, 0, 0, 0, 0, 1, 0]}",0
0,lda,51,0.78,0.78,0.56,0.032912254333496094,0.3679656982421875,"{'n_components': 1, 'selected_features': [1, 0, 0, 1, 1, 0, 1, 0, 0, 1]}",0
0,lda,52,0.87,0.87,0.74,0.042662620544433594,0.3085150718688965,"{'n_components': 1, 'selected_features': [1, 0, 0, 0, 0, 1, 0, 0, 1, 0]}",0
0,lda,53,0.74,0.74,0.48,0.03268909454345703,0.2812001705169678,"{'n_components': 1, 'selected_features': [1, 1, 0, 0, 0, 0, 0, 0, 0, 1]}",0
0,lda,54,0.71,0.71,0.42000000000000004,0.03273177146911621,0.23411822319030762,"{'n_components': 1, 'selected_features': [0, 0, 0, 0, 0, 1, 0, 1, 0, 0]}",0
0,lda,6,0.82,0.8200000000000001,0.64,0.03263115882873535,0.28472065925598145,"{'n_components': 1, 'selected_features': [1, 0, 0, 0, 0, 1, 1, 0, 0, 0]}",0
0,lda,7,0.77,0.77,0.54,0.03270769119262695,0.23351788520812988,"{'n_components': 1, 'selected_features': [0, 0, 1, 0, 0, 0, 0, 0, 0, 1]}",0
0,lda,8,0.83,0.8300000000000001,0.6599999999999999,0.033391475677490234,0.3610856533050537,"{'n_components': 1, 'selected_features': [0, 0, 1, 0, 0, 0, 1, 1, 1, 1]}",0
0,lda,9,0.91,0.91,0.8200000000000001,0.03393292427062988,0.3829386234283447,"{'n_components': 1, 'selected_features': [1, 1, 0, 1, 0, 0, 0, 0, 1, 1]}",0
